idx,ssim,ssim_ori,tre,geo_r,geo_t,geo_d,geo_se3,alpha,beta,gamma,bx,by,bz,alpha2,beta2,gamma2,bx2,by2,bz2
0,0.733345032,0.720781446,35.90701675,9.746728467,46.04733276,96.72084808,46.09999084,-1.111723304,0.257834166,1.861964703,202.6329193,122.2568359,87.95617676,1.639991641,-0.953918636,-0.877359927,202.6329193,122.2568359,87.95617676
1,0.729960084,0.721554101,31.87244225,11.14037119,49.43493271,109.0649643,49.51048279,-1.076476336,0.276499629,1.869451284,207.4138489,120.111145,82.60803223,1.639991641,-0.953918636,-0.877359927,207.4138489,120.111145,82.60803223
2,0.731621444,0.725993514,27.26363564,12.22596518,49.52276993,117.6249008,49.612854,-1.055217266,0.290418625,1.873228192,212.6026001,116.1494827,81.59449768,1.639991641,-0.953918636,-0.877359927,212.6026001,116.1494827,81.59449768
3,0.741754055,0.742717862,29.35006714,13.62426598,54.73202133,130.8870239,54.85754013,-1.039074779,0.312633842,1.871137023,212.6354218,120.3071365,77.75905609,1.639991641,-0.953918636,-0.877359927,212.6354218,120.3071365,77.75905609
4,0.742005289,0.737846971,25.82212448,12.65121516,49.00376892,120.7895737,49.09682083,-1.065146923,0.303350419,1.865450621,212.5153351,113.4028931,80.35162354,1.639991641,-0.953918636,-0.877359927,212.5153351,113.4028931,80.35162354
5,0.744422138,0.742815733,27.58510017,13.32082024,52.341465,127.4863968,52.45238113,-1.057302475,0.314442694,1.862487793,213.1528168,116.2214966,78.20648193,1.639991641,-0.953918636,-0.877359927,213.1528168,116.2214966,78.20648193
6,0.758458614,0.745544732,28.10312653,13.92253346,54.15327835,133.0191956,54.28715897,-1.029773712,0.308728695,1.894743919,207.8129883,119.8370209,76.29376221,1.639991641,-0.953918636,-0.877359927,207.8129883,119.8370209,76.29376221
7,0.746774018,0.737110019,34.69104767,12.22051938,51.54827881,118.4491425,51.64535522,-1.052289724,0.29134658,1.865095258,204.4869232,125.7944031,84.0651474,1.639991641,-0.953918636,-0.877359927,204.4869232,125.7944031,84.0651474
8,0.749410868,0.743420899,29.15645218,12.76205175,52.29361725,123.036087,52.39876556,-1.077326775,0.307593107,1.867917776,206.4127808,117.1174088,76.30738068,1.639991641,-0.953918636,-0.877359927,206.4127808,117.1174088,76.30738068
9,0.739042282,0.741670847,33.19415665,14.67800965,57.32971954,140.3342133,57.48207092,-1.02236414,0.327949762,1.864357233,212.3168335,126.3292999,79.13240051,1.639991641,-0.953918636,-0.877359927,212.3168335,126.3292999,79.13240051
10,0.717329502,0.698602796,56.72649765,9.686207527,53.37330246,99.96855164,53.4367485,-1.19233346,0.242401719,1.856416702,178.5878754,138.1452637,104.6965256,1.639991641,-0.953918636,-0.877359927,178.5878754,138.1452637,104.6965256
11,0.711718619,0.697095037,63.58274078,8.837372162,60.63525009,98.10312653,60.69462204,-1.212861776,0.212595135,1.854761004,174.5026855,144.870697,105.48806,1.639991641,-0.953918636,-0.877359927,174.5026855,144.870697,105.48806
12,0.726772308,0.718182087,40.73483658,13.53077392,50.75050354,128.5227356,50.8691864,-1.122275829,0.313545346,1.902085304,190.9599609,126.5903168,84.67879486,1.639991641,-0.953918636,-0.877359927,190.9599609,126.5903168,84.67879486
13,0.739916325,0.734193206,25.53991699,11.67017006,51.93331528,114.3186264,52.0232811,-1.046344042,0.260383815,1.911209226,207.7864838,109.5559616,72.96064758,1.639991641,-0.953918636,-0.877359927,207.7864838,109.5559616,72.96064758
14,0.771496117,0.744849205,18.87472725,13.72404925,54.03816605,131.3916321,54.16743088,-1.062267542,0.321976125,1.869181037,206.9857025,103.9252548,68.3345108,1.639991641,-0.953918636,-0.877359927,206.9857025,103.9252548,68.3345108
15,0.715190649,0.701681852,34.7351532,10.05895882,56.94403839,104.6332779,57.01750183,-1.07685709,0.255718797,1.869572639,203.4061279,116.8958817,69.87953949,1.639991641,-0.953918636,-0.877359927,203.4061279,116.8958817,69.87953949
16,0.72376287,0.708250165,36.15726852,9.317227813,53.28162003,97.21083832,53.33993149,-1.124057531,0.246115416,1.872085452,197.3555298,116.4652557,73.09811401,1.639991641,-0.953918636,-0.877359927,197.3555298,116.4652557,73.09811401
17,0.735361278,0.714685321,27.27609444,10.83846765,51.90750885,107.8907928,51.98468781,-1.099080801,0.268673062,1.885563612,202.3771667,107.1982651,70.74077606,1.639991641,-0.953918636,-0.877359927,202.3771667,107.1982651,70.74077606
18,0.736706734,0.732843876,26.31678391,13.56115984,50.56128693,128.6919403,50.67990494,-1.037218213,0.292905927,1.921636581,209.1563721,116.7037201,79.12117767,1.639991641,-0.953918636,-0.877359927,209.1563721,116.7037201,79.12117767
19,0.742391586,0.736384988,35.07030487,12.34805705,53.5984993,120.3511429,53.70278168,-1.053195715,0.281285793,1.90363574,204.2302246,125.0709991,80.31305695,1.639991641,-0.953918636,-0.877359927,204.2302246,125.0709991,80.31305695
20,0.744833887,0.736456513,25.92276573,13.37361618,52.70097351,128.054184,52.82085419,-1.031784534,0.294790268,1.903980851,211.390686,116.3875732,77.07444,1.639991641,-0.953918636,-0.877359927,211.390686,116.3875732,77.07444
21,0.742045879,0.731331706,28.96632195,12.62024522,55.4026413,123.282608,55.51426697,-1.049888968,0.2894198,1.89498508,211.2758789,116.4372787,73.68471527,1.639991641,-0.953918636,-0.877359927,211.2758789,116.4372787,73.68471527
22,0.742431641,0.72927916,40.9348793,12.24536772,58.22064209,121.6918793,58.33188629,-1.080161095,0.28705436,1.900807738,201.5190887,128.7267761,76.72979736,1.639991641,-0.953918636,-0.877359927,201.5190887,128.7267761,76.72979736
23,0.739745498,0.734018683,34.9942894,12.71346976,54.15014267,123.4554291,54.26124191,-1.086630583,0.294562578,1.906743288,202.5346069,122.0463791,76.58118439,1.639991641,-0.953918636,-0.877359927,202.5346069,122.0463791,76.58118439
24,0.744693756,0.733676016,41.51659012,12.6545225,57.98012924,124.7269821,58.09829712,-1.092508912,0.297269374,1.89952755,199.1497498,128.9109497,76.8844986,1.639991641,-0.953918636,-0.877359927,199.1497498,128.9109497,76.8844986
25,0.748186767,0.721588731,31.4003582,11.08754553,51.51741791,109.6174164,51.59824753,-1.059146881,0.257863104,1.901128173,207.0648651,119.0079498,78.82653809,1.639991641,-0.953918636,-0.877359927,207.0648651,119.0079498,78.82653809
26,0.734051228,0.709409714,37.27390289,10.39051215,54.13573837,105.6054535,54.210289,-1.07706809,0.249503851,1.898934364,204.6069641,123.3972549,78.18082428,1.639991641,-0.953918636,-0.877359927,204.6069641,123.3972549,78.18082428
27,0.739943981,0.710358381,42.14321518,9.310169878,54.12276077,97.6231308,54.1817131,-1.065729499,0.231497318,1.882671595,199.8414612,131.0328979,85.02755737,1.639991641,-0.953918636,-0.877359927,199.8414612,131.0328979,85.02755737
28,0.749625623,0.721800983,26.72903633,11.83227613,53.99022293,116.519371,54.08594894,-1.044213653,0.26979357,1.897742271,214.6868134,111.4085617,74.05234528,1.639991641,-0.953918636,-0.877359927,214.6868134,111.4085617,74.05234528
29,0.729983985,0.699859262,39.53676224,10.88576272,51.82416916,108.2128601,51.90186691,-1.127822161,0.261411101,1.902204156,198.5083008,123.3732758,80.10489655,1.639991641,-0.953918636,-0.877359927,198.5083008,123.3732758,80.10489655
30,0.740374804,0.710838437,29.98687744,10.32704145,50.54146576,103.3253708,50.60998917,-1.061510444,0.247786984,1.890509963,210.5051727,115.9781799,79.18257141,1.639991641,-0.953918636,-0.877359927,210.5051727,115.9781799,79.18257141
31,0.734009504,0.706747234,30.984272,10.13581538,52.76785278,102.9958496,52.83631134,-1.073365331,0.252165973,1.880499005,209.9038391,114.1341705,75.02420044,1.639991641,-0.953918636,-0.877359927,209.9038391,114.1341705,75.02420044
32,0.721811175,0.700409532,43.61285782,11.12154829,53.50162125,110.8235855,53.58392334,-1.159032464,0.269689441,1.885149002,193.8314972,126.3761292,80.35369873,1.639991641,-0.953918636,-0.877359927,193.8314972,126.3761292,80.35369873
33,0.738929749,0.706262589,29.88793373,10.56308579,51.43688202,105.5602341,51.50905991,-1.076929808,0.258819163,1.887233377,209.247406,113.7902679,76.19985962,1.639991641,-0.953918636,-0.877359927,209.247406,113.7902679,76.19985962
34,0.741765499,0.715429425,37.12421799,11.06531124,54.96993637,111.1130829,55.05554199,-1.086130857,0.267424822,1.894517899,203.4464722,123.1480331,76.59083557,1.639991641,-0.953918636,-0.877359927,203.4464722,123.1480331,76.59083557
35,0.748251081,0.709938884,26.3657341,9.628741266,46.92663956,96.24230957,46.98134995,-1.07354331,0.236995682,1.890492678,211.5550232,108.495636,79.69683075,1.639991641,-0.953918636,-0.877359927,211.5550232,108.495636,79.69683075
36,0.75061214,0.710697889,34.86984634,8.076340901,45.18815231,83.72162628,45.22569656,-1.102024198,0.21132277,1.888627172,200.1305542,120.2819061,86.59155273,1.639991641,-0.953918636,-0.877359927,200.1305542,120.2819061,86.59155273
37,0.741904855,0.705185592,28.28610039,9.398448707,44.62646484,93.3718338,44.675457,-1.107924938,0.238583222,1.890210629,204.968277,110.2325668,80.92816925,1.639991641,-0.953918636,-0.877359927,204.968277,110.2325668,80.92816925
38,0.744156718,0.70982796,42.69858932,8.874284472,53.41254425,94.0759201,53.46607971,-1.111230254,0.238054082,1.870847702,197.2421722,128.3769836,82.68431854,1.639991641,-0.953918636,-0.877359927,197.2421722,128.3769836,82.68431854
39,0.723815978,0.698391914,36.07032394,10.31542335,49.99782562,102.9719009,50.0606842,-1.141803384,0.261893213,1.875692487,201.105896,117.3374939,78.04936218,1.639991641,-0.953918636,-0.877359927,201.105896,117.3374939,78.04936218
40,0.735871255,0.705312073,44.60965347,8.604436702,52.20817947,91.45426941,52.25708008,-1.142767668,0.229527518,1.873943925,194.5065918,128.2632294,84.22476196,1.639991641,-0.953918636,-0.877359927,194.5065918,128.2632294,84.22476196
41,0.737105012,0.699549556,38.08090591,10.07554885,51.43193054,101.8635406,51.49775696,-1.119732976,0.253361553,1.888179183,199.7457275,122.0791779,79.66292572,1.639991641,-0.953918636,-0.877359927,199.7457275,122.0791779,79.66292572
42,0.740936995,0.714110076,39.28707504,10.47098905,52.46156693,105.3655624,52.53490448,-1.10382247,0.256217122,1.897151947,199.7586365,125.1165009,81.01118469,1.639991641,-0.953918636,-0.877359927,199.7586365,125.1165009,81.01118469
43,0.742713213,0.707048774,33.54805756,10.16965378,49.51200485,101.6241302,49.57587051,-1.116491556,0.254158616,1.890348554,202.2786102,116.2111588,78.09454346,1.639991641,-0.953918636,-0.877359927,202.2786102,116.2111588,78.09454346
44,0.746049345,0.714364469,29.41606903,9.435638158,45.33359909,93.99603271,45.38509369,-1.085826516,0.23304294,1.895857334,205.2363129,114.605957,82.93109131,1.639991641,-0.953918636,-0.877359927,205.2363129,114.605957,82.93109131
45,0.737166464,0.708558321,41.55075836,11.984378,55.99860382,118.6319427,56.1011734,-1.111142635,0.279089719,1.911441088,197.2546387,127.0263367,77.65010834,1.639991641,-0.953918636,-0.877359927,197.2546387,127.0263367,77.65010834
46,0.752023935,0.711822808,42.44002151,9.250948094,51.56538391,95.79290771,51.62155533,-1.126314878,0.23349531,1.893389583,193.6465149,127.0236664,83.80486298,1.639991641,-0.953918636,-0.877359927,193.6465149,127.0236664,83.80486298
47,0.741099119,0.699459672,39.57422256,9.270318292,48.00618362,94.07022095,48.05808258,-1.160950541,0.225215971,1.895514011,194.8422089,120.0132446,81.99943542,1.639991641,-0.953918636,-0.877359927,194.8422089,120.0132446,81.99943542
48,0.738930702,0.704596698,41.16277313,10.5651202,52.1902771,105.9448395,52.26452637,-1.135630488,0.25277698,1.904172301,195.3961792,124.628624,80.52046204,1.639991641,-0.953918636,-0.877359927,195.3961792,124.628624,80.52046204
49,0.69208169,0.680142879,40.90003586,7.983492293,54.46778107,88.43373108,54.50804138,-1.117525101,0.221196383,1.832922816,224.2942657,135.5584717,86.44186401,1.627830267,-0.99394083,-0.897282183,224.2942657,135.5584717,86.44186401
50,0.688120604,0.67778933,48.15395737,8.012129691,59.2582016,91.65262604,59.30259323,-1.129150152,0.224049836,1.842256665,222.2686157,142.1508636,85.46083832,1.627830267,-0.99394083,-0.897282183,222.2686157,142.1508636,85.46083832
51,0.673831522,0.679602802,72.07126617,6.453557458,69.28014374,89.28295135,69.30957031,-1.212090015,0.193747908,1.826655149,213.5582275,161.8090363,97.19523621,1.627830267,-0.99394083,-0.897282183,213.5582275,161.8090363,97.19523621
52,0.680888772,0.680507064,45.14520264,10.01060676,60.70404053,106.3794174,60.77326202,-1.117618203,0.257475346,1.845446706,225.9461975,139.3317719,81.55916595,1.627830267,-0.99394083,-0.897282183,225.9461975,139.3317719,81.55916595
53,0.681352139,0.677573025,46.3499794,6.62953067,54.48270416,79.46949005,54.5105629,-1.125515819,0.198114574,1.835486174,221.6431122,142.2289429,94.540802,1.627830267,-0.99394083,-0.897282183,221.6431122,142.2289429,94.540802
54,0.678268909,0.674065828,59.6134491,7.373741963,66.14741516,92.2829895,66.1894455,-1.136287689,0.214692205,1.838549852,218.548645,155.0937653,91.35462952,1.627830267,-0.99394083,-0.897282183,218.548645,155.0937653,91.35462952
55,0.669202685,0.661416769,71.25009918,6.023796273,65.94537354,84.33349609,65.97078705,-1.150600553,0.195018783,1.824742794,219.7435608,155.3589935,93.07781219,1.627830267,-0.99394083,-0.897282183,219.7435608,155.3589935,93.07781219
56,0.671371698,0.670580029,71.04298401,6.545947952,74.30046082,93.72154999,74.33552551,-1.158845663,0.204940185,1.826764703,215.2122803,165.3399658,92.7217865,1.627830267,-0.99394083,-0.897282183,215.2122803,165.3399658,92.7217865
57,0.674978733,0.672555983,53.93691635,7.154133786,62.6526413,88.44805145,62.69091034,-1.122112155,0.20703432,1.834197283,219.5912781,150.4087067,90.56048584,1.627830267,-0.99394083,-0.897282183,219.5912781,150.4087067,90.56048584
58,0.67230022,0.677789509,59.25528336,5.150634943,62.71640015,77.15988922,62.73387527,-1.157515287,0.180660963,1.822497368,218.0554962,153.0678406,95.14711761,1.627830267,-0.99394083,-0.897282183,218.0554962,153.0678406,95.14711761
59,0.669784546,0.680260062,72.76482391,6.330737761,72.14626312,90.86922455,72.1778183,-1.195118427,0.196073219,1.833588839,213.6691437,163.7598572,94.09350586,1.627830267,-0.99394083,-0.897282183,213.6691437,163.7598572,94.09350586
60,0.681480885,0.669063926,39.35734177,5.556184693,50.30218887,69.86619568,50.31985092,-1.122572541,0.177522197,1.821120381,227.6763611,131.7997131,91.47814941,1.627830267,-0.99394083,-0.897282183,227.6763611,131.7997131,91.47814941
61,0.667899549,0.653820038,62.18659973,6.04599559,67.87057495,85.96607208,67.89671326,-1.142782927,0.19421342,1.820239186,221.0991821,156.9034576,92.48923492,1.627830267,-0.99394083,-0.897282183,221.0991821,156.9034576,92.48923492
62,0.67077446,0.663958192,59.60243225,4.432272584,64.01706696,74.79465485,64.03231812,-1.138023615,0.161834985,1.829213023,218.0928345,155.3239441,97.23288727,1.627830267,-0.99394083,-0.897282183,218.0928345,155.3239441,97.23288727
63,0.667765021,0.671991229,68.52710724,5.744755615,71.69895172,87.4871521,71.72544098,-1.15541482,0.190368697,1.827415943,216.0596924,163.0329742,94.43161774,1.627830267,-0.99394083,-0.897282183,216.0596924,163.0329742,94.43161774
64,0.67763108,0.666445374,53.50970078,5.431575814,59.83824921,76.33690643,59.85955811,-1.131981611,0.1781234,1.832485557,219.1615143,149.1273651,94.22992706,1.627830267,-0.99394083,-0.897282183,219.1615143,149.1273651,94.22992706
65,0.669801116,0.663634717,64.62755585,5.063448945,68.17196655,81.23977661,68.19046783,-1.152696848,0.178734392,1.819050074,217.4792328,159.2947693,95.38555908,1.627830267,-0.99394083,-0.897282183,217.4792328,159.2947693,95.38555908
66,0.677608013,0.665672123,48.31625748,6.203782358,57.79659653,79.19212341,57.82339478,-1.114146829,0.185272217,1.83017683,223.2792206,144.8187561,93.13728333,1.627830267,-0.99394083,-0.897282183,223.2792206,144.8187561,93.13728333
67,0.686259091,0.679330826,76.4356575,9.812395327,68.86882782,109.8876343,68.94692993,-1.122623444,0.255743295,1.841068506,219.9048157,152.244751,81.39167786,1.627830267,-0.99394083,-0.897282183,219.9048157,152.244751,81.39167786
68,0.675970376,0.678302467,62.89387131,8.959370488,70.43901062,105.2358704,70.50392914,-1.146507621,0.244848683,1.839805126,216.7189026,157.401062,85.49720764,1.627830267,-0.99394083,-0.897282183,216.7189026,157.401062,85.49720764
69,0.683395445,0.672946513,62.54952621,10.3346694,72.51670074,115.7253952,72.6034317,-1.129490614,0.267809957,1.830028176,218.306839,158.9798279,84.59207916,1.627830267,-0.99394083,-0.897282183,218.306839,158.9798279,84.59207916
70,0.672445893,0.660865903,58.820858,7.38522892,66.29878998,92.46140289,66.34178925,-1.134239674,0.213678464,1.842384577,219.3965759,153.8832397,89.01267242,1.627830267,-0.99394083,-0.897282183,219.3965759,153.8832397,89.01267242
71,0.687705636,0.679067492,61.97719955,9.955195895,69.89530182,111.5020218,69.977211,-1.136760831,0.260653406,1.844613791,214.6699677,157.8965149,86.87873077,1.627830267,-0.99394083,-0.897282183,214.6699677,157.8965149,86.87873077
72,0.677707195,0.671121955,62.47598648,7.420646238,68.45411682,94.23100281,68.49913788,-1.140301824,0.215858743,1.841342688,216.1040802,157.8117218,90.49810028,1.627830267,-0.99394083,-0.897282183,216.1040802,157.8117218,90.49810028
73,0.689355969,0.681544483,44.41983414,4.954200451,52.98989868,68.38910675,52.99970245,-1.076417565,0.211078569,1.78820014,235.177063,132.696167,81.79383087,1.674101353,-0.893996358,-0.870428979,235.177063,132.696167,81.79383087
74,0.685360968,0.68335855,66.52422333,2.926710706,64.1330719,69.03159332,64.13399506,-1.122514725,0.145848855,1.779244065,226.2980804,153.9394226,88.51911926,1.674101353,-0.893996358,-0.870428979,226.2980804,153.9394226,88.51911926
75,0.705597401,0.700776517,55.9552269,4.601683569,62.22786331,74.06019592,62.23759842,-1.075272202,0.204802737,1.789080858,230.5885315,147.761261,83.1730423,1.674101353,-0.893996358,-0.870428979,230.5885315,147.761261,83.1730423
76,0.675922155,0.680125952,61.7651825,3.463260205,64.55484772,71.27928162,64.56370544,-1.158203244,0.150333196,1.824673891,218.1706848,154.6617126,94.15238953,1.627830267,-0.99394083,-0.897282183,218.1706848,154.6617126,94.15238953
77,0.666731834,0.689008772,85.36579132,3.88961635,80.75769806,87.60110474,80.7700882,-1.223895073,0.131121933,1.811025381,212.8743744,175.0216522,101.243454,1.627830267,-0.99394083,-0.897282183,212.8743744,175.0216522,101.243454
78,0.696684778,0.714502037,41.16267395,6.986819724,49.79982758,78.72450256,49.81597137,-1.081344962,0.248638704,1.794225335,235.8386383,131.4230652,85.82880402,1.674101353,-0.893996358,-0.870428979,235.8386383,131.4230652,85.82880402
79,0.672015488,0.689095736,58.22806549,5.884424132,62.20608902,80.66320038,62.23112488,-1.152122974,0.191365227,1.833930254,215.6977234,152.7692108,94.56884766,1.627830267,-0.99394083,-0.897282183,215.6977234,152.7692108,94.56884766
80,0.705812752,0.707917809,48.18774414,7.508789556,50.75511551,82.88432312,50.7772789,-1.100835204,0.253971487,1.795026779,225.8792114,141.2757874,93.61574554,1.666691422,-0.892089367,-0.869701684,225.8792114,141.2757874,93.61574554
81,0.680217683,0.676840246,66.70904541,5.651143337,56.23284531,74.79408264,56.25457764,-1.119930625,0.177608386,1.826966047,223.2724915,141.6823425,91.02944183,1.627830267,-0.99394083,-0.897282183,223.2724915,141.6823425,91.02944183
82,0.697849572,0.699061751,76.52406693,9.017654186,55.95550919,96.55954742,56.01333618,-1.060563803,0.205711395,1.84916842,230.0304718,135.5527649,87.9287262,1.627830267,-0.99394083,-0.897282183,230.0304718,135.5527649,87.9287262
83,0.665488899,0.688838542,70.95311737,5.330666053,67.08084106,81.63235474,67.09654236,-1.225235462,0.165761486,1.80947113,214.1710205,159.4116821,97.30821991,1.627830267,-0.99394083,-0.897282183,214.1710205,159.4116821,97.30821991
84,0.684749901,0.695291042,75.74045563,8.703342213,70.69643402,103.7619324,70.75175476,-1.164400101,0.250679731,1.809285522,213.8820038,164.1228638,95.07453156,1.666691422,-0.892089367,-0.869701684,213.8820038,164.1228638,95.07453156
85,0.676076174,0.681520462,69.30172729,6.807415462,71.60493469,93.03939056,71.6423645,-1.17294383,0.208196461,1.834986925,213.7267303,162.15271,91.54298401,1.627830267,-0.99394083,-0.897282183,213.7267303,162.15271,91.54298401
86,0.679491401,0.67544508,63.6816864,5.159162079,51.58745193,68.47088623,51.60375595,-1.125158072,0.170416191,1.8276788,222.7446289,139.0542297,95.94593048,1.627830267,-0.99394083,-0.897282183,222.7446289,139.0542297,95.94593048
87,0.693703473,0.687646031,75.67631531,8.275041923,69.70767212,100.3689651,69.75499725,-1.180217743,0.228937164,1.807123065,214.4065857,162.3953094,93.14247894,1.666691422,-0.892089367,-0.869701684,214.4065857,162.3953094,93.14247894
88,0.677337587,0.676991999,64.70433807,1.701401543,65.15419769,66.82453918,65.15647125,-1.168675423,0.119106226,1.823636651,218.568634,156.8216705,98.2649765,1.627830267,-0.99394083,-0.897282183,218.568634,156.8216705,98.2649765
89,0.671747804,0.676448464,63.87819672,1.371475757,62.09643555,63.23930359,62.09759521,-1.180594683,0.092252038,1.831290483,218.4405823,154.9821472,102.7789917,1.627830267,-0.99394083,-0.897282183,218.4405823,154.9821472,102.7789917
90,0.663739681,0.678961992,67.9875412,4.480170023,61.87993622,73.19625092,61.89108276,-1.23749733,0.12851359,1.811803937,216.7528229,153.5142059,97.82667542,1.627830267,-0.99394083,-0.897282183,216.7528229,153.5142059,97.82667542
91,0.678301096,0.679795504,53.28953934,2.956090573,57.55391312,63.07079697,57.56029129,-1.139540076,0.132053614,1.830052257,223.2072144,146.6260529,97.38346863,1.627830267,-0.99394083,-0.897282183,223.2072144,146.6260529,97.38346863
92,0.670498312,0.681045294,60.31311417,0.99861278,59.9091301,60.53963089,59.9096489,-1.168866396,0.095854379,1.828705549,218.5445404,152.4335327,102.154335,1.627830267,-0.99394083,-0.897282183,218.5445404,152.4335327,102.154335
93,0.655714452,0.672166526,76.06298065,6.248177058,65.72137451,85.3952179,65.74787903,-1.276673079,0.108811595,1.802516937,215.2094727,158.5592041,99.6209259,1.627830267,-0.99394083,-0.897282183,215.2094727,158.5592041,99.6209259
94,0.687385619,0.698343337,63.73135757,7.138143057,63.11342621,88.67696381,63.15064621,-1.184510231,0.210771844,1.843075991,212.2639771,155.9259644,98.69219971,1.627830267,-0.99394083,-0.897282183,212.2639771,155.9259644,98.69219971
95,0.68538022,0.690491438,59.9516983,6.70181265,60.21429062,83.94152832,60.24468613,-1.182693005,0.204100609,1.839551926,213.5556946,152.0635681,97.19512177,1.627830267,-0.99394083,-0.897282183,213.5556946,152.0635681,97.19512177
96,0.725450635,0.645660281,61.46126556,6.753592259,55.56817627,81.00184631,55.5918808,-1.184824467,0.182887107,1.791470885,209.7807007,148.6432495,98.37366486,1.666691422,-0.892089367,-0.869701684,209.7807007,148.6432495,98.37366486
97,0.709455729,0.656139135,72.18653107,9.912736379,65.03260803,108.2235947,65.09377289,-1.218251586,0.232833833,1.785063028,206.6937561,157.020874,94.89016724,1.666691422,-0.892089367,-0.869701684,206.6937561,157.020874,94.89016724
98,0.713537216,0.64650625,49.48117828,3.748455901,48.35579681,58.38083649,48.36413956,-1.187354684,0.148261845,1.836883426,209.9773254,141.9698029,102.9820328,1.627830267,-0.99394083,-0.897282183,209.9773254,141.9698029,102.9820328
