file,id_number,ncc,ssim,ssim_ori,mtre,mpd,geo_r,geo_t,alpha2,beta2,gamma2,bx2,by2,bz2
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray072_se3_log_map.csv,72,0.556654531221286,0.8940901266809601,0.8039614655673956,3.9024245738983154,2.098332643508911,1.252706089708416,6.598992347717285,-0.8119546175003052,0.1418681442737579,1.8806514739990237,246.95211791992188,24.001747131347656,113.1678695678711
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray040_se3_log_map.csv,40,0.5649361520826983,0.8941449746306569,0.8152895769033864,2.8907766342163086,1.9866843223571777,1.5340605968678906,5.137080669403076,-0.8265863060951233,0.1419137418270111,1.888622760772705,248.7582855224609,18.047683715820312,113.14567565917967
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray035_se3_log_map.csv,35,0.5600239773288469,0.8963165143212246,0.8115151408711698,3.4544363021850586,1.9993062019348145,1.8115014602744612,6.579087734222412,-0.8268105387687683,0.1466138511896133,1.891147255897522,248.9332733154297,17.547409057617188,111.7931671142578
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray042_se3_log_map.csv,42,0.5631116136918491,0.8955666183086817,0.8233654979310971,3.0206139087677,2.100306749343872,1.3775146281856792,5.363857746124268,-0.8277277946472168,0.1464633345603943,1.8797928094863887,245.6110382080078,21.917953491210938,113.558349609375
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray002_se3_log_map.csv,2,0.5387149334759713,0.9105402348664041,0.7945426041432249,2.3040897846221924,2.4080047607421875,1.8761557031087217,5.664105415344238,-0.8453639149665833,0.1321358829736709,1.891987919807434,243.76531982421875,20.125537872314453,98.14163208007812
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray057_se3_log_map.csv,57,0.5703407217649854,0.8945458011576453,0.8132326154973726,2.483168363571167,1.1739002466201782,1.451338481942952,5.048563957214356,-0.8177822232246399,0.1408520638942718,1.888527989387512,249.66891479492188,18.67823028564453,113.4232940673828
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray020_se3_log_map.csv,20,0.550883458585798,0.9020364121591619,0.7946852564966367,4.762898921966553,1.5227609872817993,1.5338829026664436,7.145455837249756,-0.8126430511474609,0.1515820920467376,1.8723655939102173,246.4411163330078,24.864585876464844,113.37287902832033
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray037_se3_log_map.csv,37,0.5779788128416637,0.8908311855197706,0.8206945525153767,1.6271981000900269,1.9482759237289429,1.5316588837896605,5.270718574523926,-0.8285481929779053,0.1482002884149551,1.8816869258880613,246.53985595703125,20.284088134765625,112.81494140625
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray025_se3_log_map.csv,25,0.5559315930824451,0.8998228823334988,0.8040732564300227,3.095102071762085,1.5095806121826172,1.5259444743224613,5.549911975860596,-0.8204821944236755,0.1444899588823318,1.8875055313110352,250.0030212402344,18.33482360839844,113.0901336669922
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray079_se3_log_map.csv,79,0.5633946618408225,0.886213863455323,0.8052741743471936,5.454345703125,1.792162299156189,0.863036420954885,6.7897820472717285,-0.8196415901184082,0.1408593654632568,1.8727493286132808,244.89114379882807,24.57512664794922,114.31437683105467
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray014_se3_log_map.csv,14,0.5381567987956133,0.9006751225874334,0.7862717238061077,2.0848371982574463,1.217943549156189,1.8643675615824666,7.290582180023193,-0.809037983417511,0.1539886444807052,1.881306767463684,250.79649353027344,20.224929809570312,111.45419311523438
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray045_se3_log_map.csv,45,0.5575312364484839,0.9020748903002324,0.8016831436559797,4.0365214347839355,2.79929518699646,1.9611116723828481,5.485893249511719,-0.8375451564788818,0.1368323117494583,1.894587516784668,247.4392242431641,16.11644744873047,113.5843734741211
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray075_se3_log_map.csv,75,0.5755561881187,0.8853128038141875,0.8173423414613256,6.793783187866211,1.9072331190109253,1.2222651933324766,8.646737098693848,-0.81182461977005,0.1439693719148636,1.8758537769317627,245.12261962890625,26.46166229248047,113.44915008544922
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray061_se3_log_map.csv,61,0.578840777432873,0.8872623768852091,0.8269417269422268,1.6465390920639038,0.8948714137077332,1.500316948858413,5.258938789367676,-0.8186969757080078,0.145430102944374,1.8859591484069824,248.78286743164065,19.08724975585937,112.83414459228516
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray018_se3_log_map.csv,18,0.5363190730999929,0.8987430688155641,0.7888975903403119,3.639153242111206,1.0138001441955566,1.3312389490870624,6.242676258087158,-0.8126077055931091,0.14388507604599,1.8810369968414309,251.66831970214844,18.557106018066406,113.34391784667967
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray078_se3_log_map.csv,78,0.5659718685285926,0.8817397161151672,0.8094207420786277,5.202436923980713,1.758086085319519,1.2362010741828637,7.461893081665039,-0.8118926882743835,0.1436009705066681,1.877370357513428,246.13327026367188,25.202125549316406,113.36188507080078
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray034_se3_log_map.csv,34,0.55711185105634,0.9008942766904605,0.8031673737062672,4.556957721710205,2.1463019847869873,1.9892207968176587,7.29626989364624,-0.8313748240470886,0.1462636440992355,1.8936426639556885,248.77316284179688,16.069664001464844,111.59124755859376
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray029_se3_log_map.csv,29,0.5604934089497409,0.89978101842772,0.8149468819679845,1.4475809335708618,1.2097736597061157,1.658185570013019,6.395401954650879,-0.812539279460907,0.1490002125501632,1.884521722793579,250.0196533203125,20.73164367675781,112.17417907714844
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray039_se3_log_map.csv,39,0.5743284808321442,0.893311743426476,0.8198514440238306,1.6498079299926758,1.975339412689209,1.6746360533082378,5.881458282470703,-0.8261955976486206,0.1493471413850784,1.8852951526641848,246.8652191162109,20.61444091796875,112.197021484375
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray017_se3_log_map.csv,17,0.5303466817565128,0.8997250205820496,0.7912430013656411,2.8736703395843506,1.201807975769043,1.686796412823502,6.938001155853272,-0.8112543821334839,0.1488543003797531,1.8849543333053589,251.3339691162109,19.52670288085937,112.12614440917967
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray065_se3_log_map.csv,65,0.5620557391952329,0.9001414760171949,0.8639617362305845,8.92764949798584,8.04127025604248,4.997554339465083,22.202302932739254,-0.7100591659545898,0.2216958999633789,1.9573962688446045,259.134765625,24.25421905517578,91.36151885986328
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray066_se3_log_map.csv,66,0.5756503401530025,0.8891047098542804,0.8174621897893903,12.410296440124512,10.939270973205566,5.8036867059161645,15.709688186645508,-0.7243419885635376,0.1488799601793289,1.897686243057251,253.47116088867188,33.43924331665039,113.89474487304688
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray077_se3_log_map.csv,77,0.5704005598208344,0.8715865011735114,0.8143306887260878,6.311732769012451,1.4106807708740234,1.7109911285242216,8.979619979858398,-0.8028202652931213,0.1492851078510284,1.872708320617676,246.5882110595703,26.932838439941406,113.02701568603516
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray063_se3_log_map.csv,63,0.5603427190769951,0.9000309068979031,0.8198653062811463,8.517918586730957,3.2110888957977295,2.211629678609656,9.698254585266112,-0.7676413655281067,0.1415762901306152,1.904637336730957,257.21990966796875,18.38018798828125,112.8920440673828
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray048_se3_log_map.csv,48,0.5605397662696692,0.8894109672056802,0.8222731902987204,1.0188790559768677,1.1991008520126343,1.639907546661958,4.592573165893555,-0.8151384592056274,0.1415788531303405,1.8917031288146973,248.700439453125,20.37816619873047,113.58108520507812
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray004_se3_log_map.csv,4,0.4966846074252091,0.9072855893439559,0.7809667203143819,5.63319206237793,4.3649468421936035,3.185739674036042,9.809455871582031,-0.8659361600875854,0.1247586533427238,1.8966968059539795,242.8570556640625,15.34036636352539,98.13216400146484
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray028_se3_log_map.csv,28,0.5675244007336744,0.8925153708805881,0.8126448063981366,2.63515567779541,1.3020540475845337,1.5858473097209809,6.392174243927002,-0.8204008340835571,0.1496516019105911,1.883315205574036,249.57801818847656,18.696998596191406,111.9216079711914
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray011_se3_log_map.csv,11,0.5524291810452262,0.902634328719637,0.7978743050018822,2.0424234867095947,2.0296638011932373,2.3175773873543593,8.82530403137207,-0.7965698838233948,0.1573289483785629,1.8778154850006104,252.54611206054688,22.547592163085938,111.35284423828124
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray033_se3_log_map.csv,33,0.5754253404671121,0.8945578973399527,0.8119067750796948,1.8971468210220337,1.5650299787521362,1.7023783146223486,6.254461765289307,-0.8271207213401794,0.1501792967319488,1.88471794128418,247.6797637939453,18.76065826416016,111.714599609375
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray038_se3_log_map.csv,38,0.568592990490465,0.889170560118401,0.8177043960331248,1.7281941175460815,1.6847891807556152,1.7046760995421681,5.616274356842041,-0.8222414255142212,0.146655797958374,1.8896366357803345,248.4530334472656,19.58121490478516,112.38868713378906
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray041_se3_log_map.csv,41,0.5630071532782233,0.8972614497939968,0.8155439092211483,1.5311144590377808,1.9238070249557495,1.418970270107775,4.380003452301025,-0.8302552103996277,0.1424208581447601,1.88411545753479,246.36866760253903,19.77100372314453,113.7145538330078
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray064_se3_log_map.csv,64,0.5628210193701454,0.8983445164939934,0.8185635356332832,2.19944429397583,2.2991726398468018,2.0187879753949702,6.378379821777344,-0.7616853713989258,0.1365194469690323,1.897655248641968,252.71836853027344,24.501739501953125,116.0055160522461
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray055_se3_log_map.csv,55,0.5527486204527453,0.8971267860882551,0.8028937315898801,3.0916922092437744,1.4264030456542969,1.6112749565291578,5.4542083740234375,-0.827100396156311,0.141287550330162,1.8904794454574585,248.2595672607422,17.090988159179688,113.07247924804688
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray003_se3_log_map.csv,3,0.5378721136334594,0.9159051108415392,0.7923234675961714,2.054164171218872,2.341393232345581,1.5644579985991955,4.69868803024292,-0.8418325185775757,0.1347812414169311,1.886459231376648,244.0654144287109,21.28193664550781,97.8211669921875
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray023_se3_log_map.csv,23,0.543368430162686,0.9048765705828854,0.7944596153836626,1.2696706056594849,1.5024570226669312,1.3989749732748327,5.418915271759033,-0.8180822730064392,0.1475077122449875,1.8803248405456543,248.87388610839844,20.755882263183597,112.83856964111328
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray085_se3_log_map.csv,85,0.5737245730086338,0.8926619592479061,0.8028156064625488,7.95252799987793,3.354180335998535,0.542606182987714,8.34598445892334,-0.8268997669219971,0.1355480551719665,1.866549491882324,243.08560180664065,26.116310119628903,115.53924560546876
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray082_se3_log_map.csv,82,0.574498534595079,0.8870883407599258,0.8147534998334443,6.725975513458252,2.7096612453460693,0.9901092491042776,8.17935848236084,-0.8196273446083069,0.1412119567394256,1.8770108222961424,244.4092254638672,25.764122009277344,113.74171447753906
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray053_se3_log_map.csv,53,0.5777330518210443,0.8866668084021024,0.8171100356509589,4.4675068855285645,1.1534315347671509,1.8267468796340363,7.411484241485596,-0.8097861409187317,0.1523157656192779,1.8836052417755127,246.45252990722656,24.58330535888672,112.6739730834961
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray013_se3_log_map.csv,13,0.5412955354598,0.9036759452684059,0.7963796228274054,1.0084850788116455,1.0170984268188477,1.2474036772519517,4.450688362121582,-0.8200684189796448,0.1445812135934829,1.8801827430725095,248.39181518554688,20.023452758789062,113.59659576416016
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray044_se3_log_map.csv,44,0.5601445361481358,0.8943409711866163,0.8098882096074156,2.434828519821167,2.0684549808502197,1.455726632597875,4.5909199714660645,-0.82757568359375,0.1405479460954666,1.8875374794006348,248.25196838378903,18.429107666015625,113.5140380859375
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray060_se3_log_map.csv,60,0.5758275992890084,0.8903926191703204,0.8215906959134281,1.4709281921386719,0.9277946949005127,1.300650302058997,3.728939056396485,-0.8160215616226196,0.1385234743356704,1.8865145444869995,247.66500854492188,21.42196655273437,114.75467681884766
/home/zsr/project/diffpose/ours/cnnnet/runs/mask/zyl/zyl_xray081_se3_log_map.csv,81,0.5693376083899258,0.8901617372734322,0.8094608027088135,6.659733295440674,2.4324309825897217,0.8584796465897326,7.859048366546631,-0.8216803669929504,0.140982985496521,1.8727121353149412,244.08697509765625,25.464324951171875,114.19190216064452
